campaign_id,campaign_name,campaign_type,channel,target_audience,geography,start_date,end_date,budget_allocated,amount_spent,impressions,clicks,leads_generated,conversions,revenue_generated,ctr,conversion_rate,cpc,cpa,customer_acquisition_cost,campaign_status,quarter,year,satisfaction_score,bounce_rate,engagement_rate,roi_percentage,campaign_duration_days,budget_utilization,revenue_per_impression,revenue_per_click,cost_efficiency_ratio,lead_to_conversion_rate,profit,profit_margin,is_profitable,campaign_month,campaign_quarter,roi_category,budget_tier,performance_score
CAMP_8127,Loyalty Retention - YouTube 2023,Retention,YouTube,Young Adults 18-25,North America,2023-12-03,2023-12-10,10434.58,9510.0,2916298,15682,531,106,44703.5,0.5377,0.6759,0.61,89.72,112.15,Completed,Q4,2023,4.3,88.28,6.35,370.07,7,91.14,0.0153,2.85,4.7,19.96,35193.5,78.73,True,December,4,Exceptional (300%+),Small (5K-25K),3.5
CAMP_1666,Referral Conversion Push - Google Ads 2024,Conversion,Google Ads,Mid-Age 35-50,North America,2024-10-06,2025-03-05,163137.2499999997,138411.95339999965,1399461,60420,4038,1593,269445.75,4.3174,2.6365,2.29,86.89,108.61,Completed,Q4,2024,4.6,90.07,4.44,94.67,150,84.84,0.1925,4.46,1.95,39.45,131033.8,48.63,True,October,4,Medium (50-150%),Large (100K-250K),9.55
CAMP_2859,Flash Sale Lead Gen - Facebook Ads 2024,Lead Generation,Facebook Ads,Young Adults 18-25,Europe,2024-07-13,2024-10-11,113474.95,88946.32,2032161,55165,4227,1496,210048.77,2.7146,2.7119,1.61,59.46,74.32,Completed,Q3,2024,3.7,92.0,0.3,136.15,90,78.38,0.1034,3.81,2.36,35.39,121102.45,57.65,True,July,3,Medium (50-150%),Large (100K-250K),8.47
CAMP_5544,Webinar Conversion Push - Affiliate 2024,Conversion,Affiliate,Professionals 25-35,Europe,2024-07-16,2025-01-12,4920.78,4177.75,275920,4442,239,82,21184.29,1.6099,1.846,0.94,50.95,63.69,Active,Q3,2024,2.9,86.58,11.42,407.07,180,84.9,0.0768,4.77,5.07,34.31,17006.54,80.28,True,July,3,Exceptional (300%+),Micro (<5K),6.86
CAMP_6472,Spring Retention - SEO 2024,Retention,SEO,Professionals 25-35,North America,2024-02-25,2024-04-10,3263.36,2541.12,52967,1917,143,55,17155.19,3.6192,2.8691,1.33,46.2,57.75,Completed,Q1,2024,3.8,84.87,8.23,575.1,45,77.87,0.3239,8.95,6.75,38.46,14614.07,85.19,True,February,1,Exceptional (300%+),Micro (<5K),11.24
CAMP_8078,New Year Win-back - Influencer 2023,Re-engagement,Influencer,Students,Europe,2023-01-08,2023-04-08,108219.08,98028.28,13816098,87731,2229,371,52503.51,0.635,0.4229,1.12,264.23,330.29,Completed,Q1,2023,3.1,90.18,5.49,-46.44,90,90.58,0.0038,0.6,0.54,16.64,-45524.77,-86.71,False,January,1,Negative ROI,Large (100K-250K),1.49
CAMP_6082,Festive Conversion Push - Social Media 2024,Conversion,Social Media,Students,Latin America,2024-01-18,2024-04-02,17831.52,14703.02,802154,12895,374,44,4666.55,1.6075,0.3412,1.14,334.16,417.7,Active,Q1,2024,3.8,78.22,7.28,-68.26,75,82.46,0.0058,0.36,0.32,11.76,-10036.47,-215.07,False,January,1,Negative ROI,Small (5K-25K),2.09
CAMP_7383,Referral Brand Awareness - Facebook Ads 2023,Brand Awareness,Facebook Ads,Students,Middle East,2023-05-15,2023-09-12,8436.16,5328.45,199288,3409,113,14,749.91,1.7106,0.4107,1.56,380.6,475.75,Completed,Q2,2023,2.4,85.04,2.54,-85.93,120,63.16,0.0038,0.22,0.14,12.39,-4578.54,-610.55,False,May,2,Negative ROI,Small (5K-25K),2.25
CAMP_7407,Black Friday Lead Gen - Social Media 2022,Lead Generation,Social Media,Professionals 25-35,Europe,2022-09-12,2022-11-26,1358.2884,1118.96,74635,848,55,11,428.31,1.1362,1.2972,1.32,101.72,127.15,Completed,Q3,2022,2.9,84.72,2.0,-61.72,75,82.38,0.0057,0.51,0.38,20.0,-690.65,-161.25,False,September,3,Negative ROI,Micro (<5K),3.58
CAMP_3145,Holiday Win-back - Email 2023,Re-engagement,Email,Professionals 25-35,Europe,2023-11-14,2024-01-13,15649.46,14771.81,744889,20329,629,144,15763.74,2.7291,0.7083,0.73,102.58,128.22,Completed,Q4,2023,4.2,89.35,8.47,6.72,60,94.39,0.0212,0.78,1.07,22.89,991.93,6.29,True,November,4,Low (0-50%),Small (5K-25K),4.06
CAMP_5250,Back to School Lead Gen - Affiliate 2023,Lead Generation,Affiliate,Professionals 25-35,North America,2023-01-30,2023-03-16,3776.79,3754.62,100274,2999,203,65,4047.98,2.9908,2.1674,1.25,57.76,72.2,Completed,Q1,2023,2.5,83.61,6.76,7.81,45,99.41,0.0404,1.35,1.08,32.02,293.36,7.25,True,January,1,Low (0-50%),Micro (<5K),7.15
CAMP_8111,Monsoon Retention - Social Media 2023,Retention,Social Media,Parents,Middle East,2023-03-10,2023-09-06,22679.56,23813.54,1388885,20773,808,259,40735.32,1.4957,1.2468,1.15,91.94,114.92,Completed,Q1,2023,4.3,78.21,2.01,71.06,180,105.0,0.0293,1.96,1.71,32.05,16921.78,41.54,True,March,1,Medium (50-150%),Small (5K-25K),4.3
CAMP_5006,Monsoon Retention - YouTube 2024,Retention,YouTube,Senior 50+,Europe,2024-02-05,2024-08-03,9182.15,8238.32,4738134,19522,514,82,8056.21,0.412,0.42,0.42,100.47,125.59,Completed,Q1,2024,2.6,79.01,6.21,-2.21,180,89.72,0.0017,0.41,0.98,15.95,-182.11,-2.26,False,February,1,Negative ROI,Small (5K-25K),1.47
CAMP_1052,Referral Lead Gen - Email 2023,Lead Generation,Email,Parents,Middle East,2023-06-01,2023-08-30,3120.08,2811.79,133491,4625,385,127,33761.0,3.4647,2.7459,0.61,22.14,27.68,Active,Q2,2023,4.5,84.93,3.6,1100.69,90,90.12,0.2529,7.3,12.01,32.99,30949.21,91.67,True,June,2,Exceptional (300%+),Micro (<5K),12.87
CAMP_3009,Winter Conversion Push - Social Media 2024,Conversion,Social Media,Young Adults 18-25,Latin America,2024-06-02,2024-06-16,4023.31,3493.9,247409,3492,167,36,5114.76,1.4114,1.0309,1.0,97.05,121.31,Completed,Q2,2024,2.8,80.48,7.19,46.39,14,86.84,0.0207,1.46,1.46,21.56,1620.86,31.69,True,June,2,Low (0-50%),Micro (<5K),3.71
CAMP_7570,Product Launch Retention - Social Media 2022,Retention,Social Media,Mid-Age 35-50,Europe,2022-07-11,2022-08-10,11287.76,2776.51,109141,1822,79,27,1410.78,1.6694,1.4819,1.52,102.83,128.54,Cancelled,Q3,2022,3.5,81.81,1.96,-49.19,30,24.6,0.0129,0.77,0.51,34.18,-1365.73,-96.81,False,July,3,Negative ROI,Small (5K-25K),4.45
CAMP_7310,Holiday Lead Gen - Email 2022,Lead Generation,Email,Students,Middle East,2022-02-03,2022-03-20,52403.46,42066.16,1766663,66566,6229,1580,290539.27,3.7679,2.3736,0.63,26.62,33.28,Completed,Q1,2022,3.3,89.27,4.58,590.67,45,80.27,0.1645,4.36,6.91,25.37,248473.11,85.52,True,February,1,Exceptional (300%+),Medium (25K-100K),10.46
CAMP_2805,Winter Win-back - Email 2023,Re-engagement,Email,Mid-Age 35-50,North America,2023-01-27,2023-03-13,2721.17,1800.49,126269,3065,88,39,5580.1,2.4274,1.2724,0.59,46.17,57.71,Active,Q1,2023,3.9,76.72,8.34,209.92,45,66.17,0.0442,1.82,3.1,44.32,3779.61,67.73,True,January,1,High (150-300%),Micro (<5K),5.69
CAMP_3559,Festive Retention - YouTube 2023,Retention,YouTube,Professionals 25-35,Europe,2023-06-15,2023-11-12,41508.21,43583.62,13578428,74318,2740,579,102190.1,0.5473,0.7791,0.59,75.27,94.09,Completed,Q2,2023,4.5,76.05,14.54,134.47,150,105.0,0.0075,1.38,2.34,21.13,58606.48,57.35,True,June,2,Medium (50-150%),Medium (25K-100K),2.81
CAMP_3074,Brand Refresh Lead Gen - SEO 2022,Lead Generation,SEO,Professionals 25-35,North America,2022-01-24,2022-01-31,21660.84,21951.55,614470,24495,1261,354,116044.42,3.9864,1.4452,0.9,62.01,77.51,Completed,Q1,2022,3.8,83.87,13.59,428.64,7,101.34,0.1889,4.74,5.29,28.07,94092.87,81.08,True,January,1,Exceptional (300%+),Small (5K-25K),8.21
