campaign_id,campaign_name,campaign_type,channel,target_audience,geography,start_date,end_date,budget_allocated,amount_spent,impressions,clicks,leads_generated,conversions,revenue_generated,ctr,conversion_rate,cpc,cpa,customer_acquisition_cost,campaign_status,quarter,year,satisfaction_score,bounce_rate,engagement_rate,roi_percentage
CAMP_8127,Loyalty Retention - YouTube 2023,Retention,YouTube,Young Adults 18-25,North America,2023-12-03,2023-12-10,10434.58,9510.0,2916298.0,15682.0,531.0,106.0,44703.5,0.5377,0.6759,0.61,89.72,112.15,Completed,Q4,2023.0,4.3,88.28,6.35,370.07
CAMP_1666,Referral Conversion Push - Google Ads 2024,Conversion,Google Ads,Mid-Age 35-50,North America,2024-10-06,2025-03-05,163668.35,161997.38,1399461.0,60420.0,4038.0,1593.0,269445.75,4.3174,2.6365,2.68,101.69,127.12,Completed,Q4,2024.0,4.6,90.07,4.44,66.33
CAMP_2859,Flash Sale Lead Gen - Facebook Ads 2024,Lead Generation,Facebook Ads,Young Adults 18-25,Europe,2024-07-13,2024-10-11,113474.95,88946.32,2032161.0,55165.0,4227.0,1496.0,210048.77,2.7146,,1.61,59.46,74.32,Completed,Q3,2024.0,3.7,92.0,0.3,136.15
CAMP_5544,Webinar Conversion Push - Affiliate 2024,Conversion,Affiliate,Professionals 25-35,Europe,2024-07-16,2025-01-12,4920.78,4177.75,275920.0,4442.0,239.0,82.0,21184.29,1.6099,1.846,0.94,50.95,63.69,Active,Q3,2024.0,2.9,86.58,11.42,407.07
CAMP_6472,Spring Retention - SEO 2024,Retention,SEO,Professionals 25-35,North America,2024-02-25,2024-04-10,3263.36,2541.12,52967.0,1917.0,143.0,55.0,17155.19,3.6192,2.8691,1.33,46.2,57.75,Completed,Q1,2024.0,3.8,84.87,8.23,575.1
CAMP_8078,New Year Win-back - Influencer 2023,Re-engagement,Influencer,Students,Europe,2023-01-08,2023-04-08,108219.08,98028.28,13816098.0,87731.0,2229.0,371.0,52503.51,0.635,0.4229,1.12,264.23,330.28,Completed,Q1,2023.0,3.1,90.18,5.49,-46.44
CAMP_6082,Festive Conversion Push - Social Media 2024,Conversion,Social Media,Students,Latin America,2024-01-18,2024-04-02,17831.52,14703.02,802154.0,12895.0,374.0,44.0,4666.55,1.6075,0.3412,1.14,334.16,417.7,Active,Q1,2024.0,3.8,78.22,7.28,-68.26
CAMP_7383,Referral Brand Awareness - Facebook Ads 2023,Brand Awareness,Facebook Ads,Students,Middle East,2023-05-15,2023-09-12,8436.16,5328.45,199288.0,3409.0,113.0,14.0,749.91,1.7106,0.4107,1.56,380.6,475.75,Completed,Q2,2023.0,2.4,85.04,2.54,-85.93
CAMP_7407,Black Friday Lead Gen - Social Media 2022,Lead Generation,Social Media,Professionals 25-35,Europe,2022-09-12,2022-11-26,1065.68,1118.96,74635.0,848.0,55.0,11.0,428.31,1.1362,1.2972,1.32,101.72,127.15,Completed,Q3,2022.0,2.9,84.72,2.0,-61.72
CAMP_3145,Holiday Win-back - Email 2023,Re-engagement,Email,Professionals 25-35,Europe,2023-11-14,2024-01-13,15649.46,14771.81,744889.0,20329.0,629.0,144.0,15763.74,2.7291,0.7083,0.73,102.58,128.23,Completed,Q4,2023.0,4.2,89.35,8.47,6.72
CAMP_5250,Back to School Lead Gen - Affiliate 2023,Lead Generation,Affiliate,Professionals 25-35,North America,2023-01-30,2023-03-16,3776.79,3754.62,100274.0,2999.0,203.0,65.0,4047.98,2.9908,2.1674,1.25,57.76,72.2,Completed,Q1,2023.0,2.5,83.61,6.76,7.81
CAMP_8111,Monsoon Retention - Social Media 2023,Retention,Social Media,Parents,Middle East,2023-03-10,2023-09-06,22679.56,23813.54,1388885.0,20773.0,808.0,259.0,40735.32,1.4957,1.2468,1.15,,114.93,Completed,Q1,2023.0,4.3,78.21,2.01,71.06
CAMP_5006,Monsoon Retention - YouTube 2024,Retention,YouTube,Senior 50+,europe,2024-02-05,2024-08-03,9182.15,8238.32,4738134.0,19522.0,514.0,82.0,8056.21,0.412,0.42,0.42,100.47,125.58,Completed,Q1,2024.0,2.6,79.01,6.21,-2.21
CAMP_1052,Referral Lead Gen - Email 2023,Lead Generation,Email,Parents,Middle East,2023-06-01,2023-08-30,3120.08,2811.79,133491.0,4625.0,385.0,127.0,33761.0,3.4647,2.7459,0.61,22.14,27.68,Active,Q2,2023.0,4.5,84.93,3.6,1100.69
CAMP_3009,Winter Conversion Push - Social Media 2024,Conversion,social media,Young Adults 18-25,Latin America,2024-06-02,2024-06-16,4023.31,3493.9,247409.0,3492.0,167.0,36.0,5114.76,1.4114,1.0309,1.0,97.05,121.32,Completed,Q2,2024.0,2.8,80.48,7.19,46.39
CAMP_7570,Product Launch Retention - Social Media 2022,Retention,Social Media,Mid-Age 35-50,Europe,2022-07-11,2022-08-10,11287.76,2776.51,109141.0,1822.0,79.0,27.0,1410.78,1.6694,1.4819,1.52,102.83,128.54,Cancelled,Q3,2022.0,3.5,81.81,1.96,-49.19
CAMP_7310,Holiday Lead Gen - Email 2022,Lead Generation,Email,Students,Middle East,2022-02-03,2022-03-20,52403.46,42066.16,1766663.0,66566.0,6344.0,1580.0,290539.27,3.7679,2.3736,0.63,26.62,33.28,Completed,Q1,2022.0,3.3,89.27,4.58,590.67
CAMP_2805,Winter Win-back - Email 2023,Re-engagement,Email,Mid-Age 35-50,North America,2023-01-27,2023-03-13,2721.17,1800.49,126269.0,3065.0,88.0,39.0,5580.1,2.4274,1.2724,0.59,46.17,57.71,Active,Q1,2023.0,3.9,76.72,8.34,209.92
CAMP_3559,Festive Retention - YouTube 2023,Retention,YouTube,Professionals 25-35,Europe,2023-06-15,2023-11-12,41508.21,43583.62,13578428.0,74318.0,2740.0,579.0,102190.1,0.5473,0.7791,0.59,75.27,94.09,Completed,Q2,2023.0,4.5,76.05,14.54,146.19
CAMP_3074,Brand Refresh Lead Gen - SEO 2022,Lead Generation,SEO,Professionals 25-35,North America,2022-01-24,2022-01-31,21660.84,21951.55,,24495.0,1261.0,354.0,116044.42,2.3285,1.4452,0.9,62.01,77.51,Completed,Q1,2022.0,3.8,83.87,13.59,428.64
CAMP_6846,Brand Refresh Lead Gen - Google Ads 2024,Lead Generation,Google Ads,Students,Asia Pacific,2024-02-02,2024-04-02,7459.62,4788.05,76772.0,2182.0,278.0,22.0,1435.37,2.8422,1.0082,2.19,217.64,272.05,Paused,Q1,2024.0,2.9,71.7,12.1,-70.02
CAMP_3408,New Year Retention - YouTube 2023,Retention,YouTube,Mid-Age 35-50,North America,2023-11-05,2024-03-04,34348.9,32585.32,11247655.0,57349.0,1345.0,391.0,27525.69,0.5099,0.6818,0.57,83.34,104.17,Completed,Q4,2023.0,4.0,68.35,7.97,-15.53
